Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile
1,322560,322815,322815,322815,322815,322815
536265,80,13901823,161,984,3041,292863
3404395,58,11313151,106,181,1586,41951
4368418,55,2539519,102,172,375,14567
4384402,3,1273855,102,173,379,13503
4496266,57,1150975,102,170,359,13463
4492386,59,1870847,102,171,363,12095
4447460,45,2248703,102,171,365,14247
4690240,56,794623,101,170,361,7463
4612131,30,1742847,101,171,360,9199
4633355,47,1195007,101,170,358,9863
4552655,50,1390591,102,171,361,12175
4728372,87,1220607,101,169,356,7467
4384525,56,1099775,102,174,384,14975
4074585,23,1732607,103,176,446,20127
4476239,66,1359871,102,171,363,16239
3535093,78,9273343,112,178,387,32479
2231623,87,40501247,125,186,472,44895
4462503,80,1641471,102,171,362,14175
4450897,53,2297855,102,171,366,13727
4193282,66,1913855,103,175,383,17343
4340603,55,2447359,102,173,371,16623
4334428,51,1890303,102,173,371,17647
4352406,55,1295359,102,172,370,18015
4365923,79,4067327,103,174,369,16103
4581332,44,6402047,102,172,358,10871
4666212,63,1201151,101,170,358,9775
4652576,76,1210367,101,171,359,9423
4721282,65,1073151,101,170,356,7519
3417278,86,4898815,111,180,412,21887
4497540,58,1305599,102,172,367,11759
4450042,56,2087935,102,173,369,11855
4394722,66,1462271,102,173,380,14407
4312496,30,1279999,102,174,395,15103
4693393,58,1122303,101,171,362,7011
4728817,67,1151999,101,170,360,6743
4717989,82,1112063,101,170,360,7263
4724369,64,1143807,101,170,361,5291
4745420,61,585215,101,169,359,5275
4736642,68,1064959,101,169,359,5367
4725673,54,1094655,101,170,360,6011
4728126,41,1203199,101,170,361,5087
4738789,56,569343,101,171,361,5279
4699809,43,1091583,101,171,361,6687
4735390,65,1184767,101,170,360,5051
4101406,73,15785983,104,173,366,13191
4690131,66,1124351,101,170,361,8207
4725683,80,3100671,101,169,358,7199
4757165,64,1075199,101,170,359,4847
4725032,68,1153023,101,170,360,5903
4742000,51,1193983,101,170,360,5231
4742156,71,1064959,101,170,360,5019
4720175,69,1178623,101,171,361,5287
4686963,23,1116159,101,169,360,8215
4710075,29,1132543,101,170,362,5751
4701576,66,1225727,101,171,361,6699
4711592,47,1517567,101,170,360,6239
4726864,51,1116159,101,169,359,7467
4734707,40,1222655,101,170,360,5267
4714101,58,1188863,101,170,360,6391
4734049,49,1220607,101,171,360,5535
