Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile,,,
7786550,16,5730303,70,73,128,8567,,,
8437676,40,5521407,70,72,92,6663,,,
8502604,18,3837951,71,77,88,4551,,50,70.03389831
8576546,10,5615615,70,72,93,5991,,90,73.3559322
8711196,30,989695,70,73,87,4187,,99,92.6440678
8762793,23,568319,70,73,88,4187,,99.99,5965.271186
8675597,21,652287,70,73,94,5723,,,
8619366,26,568831,70,73,92,7075,,,
8644808,30,988671,70,73,87,6395,,,
8510785,7,1356799,70,73,96,7479,,,
8616844,43,1078271,70,73,90,6599,,,
8487074,27,898559,70,73,96,8143,,,
8706111,23,1492991,70,73,91,6175,,,
8755162,22,603647,70,73,86,3921,,,
8773393,43,528895,70,73,90,3921,,,
8733257,35,1105919,70,73,89,4811,,,
8786919,22,580095,70,73,89,3783,,,
8683513,1,1224703,70,73,90,5111,,,
8791295,37,566271,70,73,90,3741,,,
8697580,19,1553407,70,73,95,5619,,,
8701812,37,1132543,70,73,91,5743,,,
8427569,31,1278975,70,74,95,8495,,,
7383882,7,6098943,71,88,131,17455,,,
8091340,39,4812799,70,73,108,10279,,,
8618881,39,1395711,70,73,94,6423,,,
8720638,13,1090559,70,73,93,4875,,,
8518488,23,1019391,70,73,92,7455,,,
8284796,22,1445887,70,74,98,10399,,,
8124814,36,1912831,70,75,116,11055,,,
8695370,41,515583,70,73,88,6611,,,
8814869,17,520959,70,73,84,3511,,,
8783125,21,1121279,70,73,88,4571,,,
8735921,42,1078271,70,73,89,5339,,,
8753493,39,1100799,70,73,85,5591,,,
8545274,10,3743743,70,73,92,6183,,,
8460736,12,1211391,70,73,96,7755,,,
8722758,23,535039,70,73,89,5595,,,
8748921,32,556031,70,73,91,4099,,,
8755029,14,2308095,70,73,91,4475,,,
8647628,25,1863679,70,73,95,5999,,,
8554537,23,1875967,70,73,105,7275,,,
8458433,3,1807359,70,73,99,7699,,,
8800191,23,1521663,70,73,84,3567,,,
8784747,18,552959,70,73,88,3857,,,
8754760,32,1242111,70,73,91,4935,,,
8781300,20,1748991,70,73,85,3593,,,
8737779,21,1311743,70,73,85,6067,,,
8681366,22,606719,70,73,85,6859,,,
8775610,19,551423,70,73,91,4667,,,
8796977,31,528895,70,73,86,3909,,,
8770555,12,598015,70,73,86,4267,,,
8683976,32,618495,70,73,91,6467,,,
8789583,12,573439,70,73,85,3599,,,
8765080,5,672767,70,73,91,4415,,,
8664869,2,1166335,70,73,90,6583,,,
8763410,15,1128447,70,73,90,4013,,,
8773246,30,542719,70,73,91,3643,,,
8723638,18,2179071,70,73,92,5519,,,
8612841,25,858111,70,73,94,6467,,,
