Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile
1,33792,33823,33823,33823,33823,33823
4804561,3,27344895,43,58,163,40447
10421612,12,9879551,38,46,66,6751
11479079,2,1342463,38,44,50,6155
11241113,2,21528575,38,45,51,6363
10885289,3,6537215,39,47,52,8287
9157303,1,34570239,39,47,52,6743
11998061,1,1543167,38,41,49,5691
12205785,4,2050047,38,39,48,1409
11716296,4,4825087,38,40,49,5075
11818135,5,5599231,38,39,48,4883
12218963,4,2228223,38,39,48,733
12031292,2,1355775,38,40,49,2947
12427034,6,1753087,38,39,48,207
12003547,7,1344511,38,40,49,5767
11820753,4,2588671,38,40,49,5371
12197226,1,998399,38,41,49,2017
11803830,2,6840319,38,45,51,5771
11930183,7,1541119,38,40,49,5195
11988607,5,1806335,38,39,48,1408
12031961,1,2498559,38,40,49,2099
11974665,1,1991679,38,40,49,1121
11831625,7,4599807,38,41,49,1939
11750666,3,1873919,38,42,50,5623
11065020,6,13361151,38,45,51,6507
11180485,6,7524351,38,46,52,6567
12162522,6,231423,38,40,48,5367
12027987,5,1546239,38,41,49,5899
11613130,2,1781759,38,46,51,6639
11790517,1,2392063,38,45,51,1275
11579177,6,1746943,38,43,50,6615
12338743,5,475135,38,39,48,351
12303334,5,2285567,38,40,49,305
12385061,3,697343,38,39,48,209
11915134,2,2152447,38,40,49,1383
12130535,1,1682431,38,39,48,1811
12107529,9,2074623,38,39,48,1101
12302398,3,2105343,38,39,48,972
12407610,1,1433599,38,39,48,188
10958173,16,1970175,38,45,50,3373
11009505,3,8396799,38,43,50,2855
10727978,6,14426111,38,44,50,5259
12197098,4,3764223,38,40,49,327
12296004,4,1555455,38,39,48,361
12077391,2,2594815,38,40,49,1627
12134415,2,850431,38,39,48,1564
12299898,5,1484799,38,39,48,283
12163710,4,1051647,38,40,49,3037
12287479,6,582143,38,40,48,1584
12446920,2,522239,38,39,48,253
11897292,1,1828863,38,41,49,1772
11852718,1,1849343,38,41,49,5843
12280002,5,479487,38,40,49,1253
12267414,1,698879,38,40,49,1239
11980499,3,1127423,38,40,49,5159
12182775,1,2045951,38,39,48,1156
12252209,1,2637823,38,39,48,1191
11729058,1,2109439,38,40,49,5971
11858973,4,1947647,38,40,48,5375
11928813,1,1535999,38,39,48,1209
12058512,5,814591,38,40,49,3647
