Count, min, max, 50th percentile,90th percentile,99th percentile,99.99th percentile,,,,
35707079,0,3747839,0,0,302,302,,,,
36402980,0,106623,0,0,302,302,,,50,0
34481776,0,96319,0,0,302,302,,,90,302
36513462,0,79103,0,0,302,302,,,99,302
36699152,0,99967,0,0,302,302,,,99.99,302
35993609,0,109631,0,0,302,302,,,,
36610235,0,53439,0,0,302,302,,,,
36990889,0,141951,0,0,302,302,,,,
37036095,0,92415,0,0,302,302,,,,
35397414,0,102079,0,0,302,302,,,,
36883829,0,96319,0,0,302,302,,,,
36634032,0,96639,0,0,302,302,,,,
35322743,0,108415,0,0,302,302,,,,
36131207,0,91519,0,0,302,302,,,,
36043742,0,79743,0,0,302,302,,,,
33678796,0,70399,0,0,302,302,,,,
36815809,0,73983,0,0,302,302,,,,
36596536,0,103295,0,0,302,302,,,,
36863532,0,41663,0,0,302,302,,,,
37057311,0,105983,0,0,302,302,,,,
36716955,0,86399,0,0,302,302,,,,
35148198,0,105663,0,0,302,302,,,,
37085355,0,156415,0,0,302,302,,,,
36832620,0,107519,0,0,302,302,,,,
37037257,0,78527,0,0,302,302,,,,
35783182,0,95103,0,0,302,302,,,,
36694337,0,106879,0,0,302,302,,,,
36842298,0,105087,0,0,302,302,,,,
37031997,0,97535,0,0,302,302,,,,
36084602,0,92991,0,0,302,302,,,,
36066229,0,98751,0,0,302,302,,,,
33988070,0,95103,0,0,302,302,,,,
36055213,0,109311,0,0,302,302,,,,
35103818,0,94527,0,0,302,302,,,,
35155569,0,97215,0,0,302,302,,,,
35310516,0,72511,0,0,302,302,,,,
35990977,0,115647,0,0,302,302,,,,
34917207,0,79423,0,0,302,302,,,,
36235166,0,94527,0,0,302,302,,,,
36442198,0,135295,0,0,302,302,,,,
34517696,0,113535,0,0,302,302,,,,
33467548,0,9682943,0,0,302,302,,,,
36042736,0,44991,0,0,302,302,,,,
35449208,0,88767,0,0,302,302,,,,
35480691,0,108415,0,0,302,302,,,,
35899363,0,90623,0,0,302,302,,,,
36160294,0,85183,0,0,302,302,,,,
33999837,0,188671,0,0,302,302,,,,
34924401,0,162431,0,0,302,302,,,,
33410330,0,111103,0,0,302,302,,,,
36006089,0,102975,0,0,302,302,,,,
35507278,0,196607,0,0,302,302,,,,
35555949,0,108991,0,0,302,302,,,,
35291470,0,91519,0,0,302,302,,,,
34878243,0,86399,0,0,302,302,,,,
36023451,0,99967,0,0,302,302,,,,
35519085,0,196607,0,0,302,302,,,,
35900241,0,142207,0,0,302,302,,,,
34581525,0,2103295,0,0,302,302,,,,
